state,gdp,bachelor,pop,col-tie1,rate,tie1-rate,mid,north,coastal,col-tie2,tie2-rate,tie1&2,tie1&2-rate,col-tie3,tie1&2&3,rate123,west,tie3-rate,rust
AZ,34905,25.6,6392,2,0.000312891,0.3129,0,0,0,1,0.156445557,3,0.469336671,6,9,1.408010013,1,0.938673342,0
ID,32133,23.9,1568,0,0,0,1,0,0,1,0.637755102,1,0.637755102,2,3,1.913265306,0,1.275510204,0
IL,43851,30.6,12831,4,0.000311745,0.3117,1,0,0,5,0.389681241,9,0.701426233,5,14,1.091107474,0,0.389681241,0
MN,44262,31.5,5304,1,0.000188537,0.1885,1,0,0,0,0,1,0.188536953,3,4,0.754147813,0,0.56561086,0
MT,31780,27.4,989,0,0,0,1,0,0,2,2.022244692,2,2.022244692,0,2,2.022244692,0,0,0
ND,44359,25.8,673,0,0,0,1,0,0,2,2.971768202,2,2.971768202,0,2,2.971768202,0,0,0
NE,42823,27.4,1826,1,0.000547645,0.5476,1,0,0,0,0,1,0.547645126,1,2,1.095290252,0,0.547645126,0
NV,40974,21.8,2701,0,0,0,0,0,0,2,0.740466494,2,0.740466494,0,2,0.740466494,1,0,0
SD,42567,25.1,755,0,0,0,1,0,0,2,2.649006623,2,2.649006623,0,2,2.649006623,0,0,0
WI,37499,25.7,5687,2,0.000351679,0.3517,1,0,0,1,0.175839634,3,0.527518903,2,5,0.879198171,0,0.351679269,1
WY,57942,23.8,564,0,0,0,1,0,0,1,1.773049645,1,1.773049645,0,1,1.773049645,0,0,0
AK,63264,26.6,710,0,0,0,0,0,1,1,1.408450704,1,1.408450704,0,1,1.408450704,1,0,0
CA,45105,29.9,37254,11,0.00029527,0.2953,0,0,1,4,0.107371021,15,0.402641327,16,31,0.832125409,1,0.429484082,0
HI,42995,29.6,1360,1,0.000735294,0.7353,0,0,0,0,0,1,0.735294118,0,1,0.735294118,1,0,0
OR,43247,29.2,3831,2,0.000522057,0.5221,0,0,1,1,0.261028452,3,0.783085356,0,3,0.783085356,1,0,0
WA,45113,31,6725,2,0.000297398,0.2974,0,0,1,0,0,2,0.29739777,1,3,0.446096654,1,0.148698885,0
DE,62072,28.7,898,1,0.001113586,1.1136,0,1,1,0,0,1,1.113585746,1,2,2.227171492,0,1.113585746,0
CT,54814,35.6,3574,2,0.000559597,0.5596,0,1,1,0,0,2,0.55959709,1,3,0.839395635,0,0.279798545,0
MA,50285,38.2,6548,8,0.001221747,1.2217,0,1,1,4,0.610873549,12,1.832620648,4,16,2.443494197,0,0.610873549,0
MD,44632,35.7,5774,2,0.00034638,0.3464,0,1,1,1,0.173190163,3,0.519570488,2,5,0.865950814,0,0.346380326,0
ME,33672,26.9,1328,0,0,0,0,1,0,1,0.753012048,1,0.753012048,0,1,0.753012048,0,0,0
NH,40631,32,1316,0,0,0,0,1,1,2,1.519756839,2,1.519756839,0,2,1.519756839,0,0,0
NJ,48526,34.5,8792,2,0.00022748,0.2275,0,1,1,3,0.34121929,5,0.568698817,4,9,1.023657871,0,0.454959054,0
NY,50452,32.4,19378,9,0.000464444,0.4644,0,1,1,7,0.36123439,16,0.825678605,7,23,1.186912994,0,0.36123439,0
RI,40565,30.5,1053,1,0.000949668,0.9497,0,1,1,1,0.949667616,2,1.899335233,0,2,1.899335233,0,0,0
VT,35383,33.1,626,0,0,0,0,1,0,1,1.597444089,1,1.597444089,0,1,1.597444089,0,0,0
AL,31493,22,4779,1,0.000209249,0.2092,0,0,0,4,0.836995187,5,1.046243984,0,5,1.046243984,0,0,0
AR,30991,18.9,2916,1,0.000342936,0.3429,0,0,0,0,0,1,0.342935528,1,2,0.685871056,0,0.342935528,0
CO,45450,35.9,5029,2,0.000397693,0.3977,1,0,0,4,0.795386757,6,1.193080135,2,8,1.590773514,0,0.397693378,0
FL,34775,25.3,18801,6,0.000319132,0.3191,0,0,1,4,0.212754641,10,0.531886602,4,14,0.744641242,0,0.212754641,0
